rating,title,text
5.0,High quality vintage style case...,"Great case! High quality, sturdy. Reminds you of the old days. Isn't apropos that I have oldies but goodies vinyl in there? LOL! Handle is useful when you want to take it with you to share with friends and family. Very nice vintage look. We love it. 5-Stars!"
4.0,I was pleasantly surprised❤️,These have a really good beat to them.
5.0,Five Stars,Item works great and was delivered on time
5.0,awesome!!,"I wasn't wanting to have to buy a new monitor, but since I needed to I went a little bigger and researched it down to this and a few others.  I'm VERY impressed with this one and Viewsonic is the best.  I got tired of overpaying for Samsung and getting lower quality for the price than this one.  This is great and the Vesa 100x100 is perfect for my new mount."
3.0,Okay,"Very good for the price, but limsy. Doesn't hold the iPad securely. Falls out easily if not tighten. Will not buy again."
5.0,Marvelous device for positioning your tablet,"I love this. So often, ""gooseneck"" arms are hard to position how you want, and they look ugly. Not this one! It stays looking great, does not kink, and holds your tablet firmly in place, not drooping.<br /><br />Very useful, and great for hands-free movie watching!"
4.0,Very cool,Very cool device. Really like that you can play music and ask questions
5.0,Nothing to complain about here. Good value.,Three very nice quality filters with room in pouch for an extra.
1.0,One Star,Does not work no matter what I do
5.0,Love These,"These stickers are great and such a great variety too. I make resin pieces and so far these have been working great. I stick the sticker onto a plastic sheet and cover them in clear packing tape to make them last much longer and look better in my resin pieces and they have worked great. These would also be great for hydro flasks, notebooks, laptops, or anything else you want to add some life to. Great stickers and totally works for whatever you want them for."
5.0,Fabulous Amazon Echo Dot 4th Gen with Clock!,"This is my first Amazon echo dot (4th gen) bought in Q4 2021. It works great with clock and words shown while playing music and listening to weather forecast from Alexa. The sound is loud and does not need to be over level 5 to be heard in entire great room of 500-600 square feet. It works seamlessly with Alexa app. It can feel your sound easily, so you need to face it in front to be heard by it unless you talk much louder than normal voice."
5.0,Lovely case,Lovely case fits oerfect
4.0,Appears to be strong and durable.,"Similar items based on a single coil will for sure break, usually sooner than later. With this item you won't have an ""all positions device"", but for sure it will serve much longer."
5.0,WOW!,"Great sound for such a reasonably priced item.  Not only makes it terrific toi listen to music, but movie sounds are much more clear! Love this purchase and highly recommend it!"
5.0,Perfect!,"I bought this from B&H and absolutely love it. All of my filters, including ND, are circular because the drop-in filters did not work very well for me. After I dropped one onto the ground instead of into the slot, I decided to switch to circular filters. (I felt so bad about my clumsiness for so long until I saw a photographer at the Grand Canyon whose drop-in filter had a missing corner, as if someone chomped a chunk out of it --  like the logo of Apple products in fact. An almost feeling of schadenfreude came over me at the sight! ;)<br /><br />This storage case suits me perfectly. I took all the filters out of their individual plastic cases and put them in the slots (not counting the filters on the lenses, I have exactly 8 filters for its 8 slots, how's that for coincidence?) The case gives the filters the same protection as their plastic cases so I'm certain that all of my B+W receive the same careful regard they deserve.<br /><br />I have to keep an eye on my acquisition of more filters or I will probably end up with another MindShift Filter Nest Storage Case soon."
5.0,I love this!,"This is a great product, except for one thing: directions.  Be prepared to do extensive research on the web to find out how to hook this up and how to troubleshoot problems.<br />When working, it's so way cool!"
5.0,Haven't had to use yet.,"Haven't had to use yet, I expect if I do everything will go good."
1.0,Didn't work,The picture didn't work.
5.0,Sunny,"Very nice case, came quickly and without delay. I love the color, and already have one in pink. They are very simple to use, easy to clean and yet do a nice job of protecting my I-pad."
5.0,Works perfectly...,Works perfectly...
1.0,Falls Off Vent,"I threw this away after a few weeks. Would not hold my phone up correctly, and always lost grip on the vent."
5.0,Good book,Can't wait to try this project out
1.0,did NOT work,"It did not work. First of all, the suggestion of the battery position inside was backwards. It sort of did turn the tv on, but neither the volume nor channel buttons worked. It's not the real thing. Very funky."
5.0,LOVE!,"These work so well, better  than zip ties and strong."
5.0,Good quality,"Looks like a high quality item. The cable is a little stiff, but other than that it's fine. Charges phones at a high speed. Solid connection to your devices."
5.0,Kindle Paperwhite 2-Yr Protection Plan,"Though these units are very sturdy, accidents happen.  I bought the same type of coverage for my 1st Kindle and did have a problem.  All I had to do was call Amazon and they shipped me a new one immediately and paperwork to return to one with the problem.  Like all insurance you hope you won't need it but when you do it's great."
5.0,It’s small but sounds amazing!!!,It’s small but sounds amazing!!!
5.0,Must have for underwater camera!,"It did just what I needed it to do.  It help up my waterproof camera so there were no concerns it could be lost to the bottom of the ocean/lake.  It has a lock feature to easily remove the float for those times you don't need it.  I did test it cautiously to make sure it would hold the weight of my camera the first time.  After that, it's been a completely success and has kept me from losing my camera several times.  I can only imagine my camera would shoot to the bottom of the water very quickly.<br /><br />*Update 12/2015*<br />I have now used it so many times, I've gotten bold and daring with trusting it to keep my camera afloat.  I threw it off the top of a 2 story house boat down to friends below in the water (Lake Cumberland, so deep and dark, there would be no recovering my camera if this didn't hold up).  You can trust this thing to keep your memories afloat.<br /><br />I have a olympus tough shock proof/water proof camera I use it with.  For an idea of what weight it's holding up, my camera weighs 5.6 ounces.<br /><br />I really like the feature that allows you to click lock/remove the float device when taking this out of the water."
5.0,batteries,"They fit perfect and works fine, don't know yet how long they will last."
5.0,These are nice,Work as described and were very easy to assemble
5.0,Good!,Good!
4.0,Nice for the low price.,"This is a pretty nice looking and functioning keyboard/mouse wireless combo.  It is plug and play easy set up.  Works very well.  No problems detected while typing or using the mouse.  I do think that the mouse is too flat.  It needs to be more rounded at the top, however, I am getting used to it.  The box also contained a CD with software that shows caps lock, scroll lock, numbers lock, on screen as there are no lights on the keyboard for that.  The software also displays battery state on both the keyboard and the mouse.  After installing the software these items are displayed in a box on the right lower portion of the screen. The box containing this information is rather large and in my opinion is not worth the trouble to display it.  I also had my computer lock up several times after installing the software, but once I removed the software everything was fine.  So I would suggest not using the software, it is not required for normal operation.  I was using a Microsoft 800 combo before this unit, and I like the size, looks, and action of this keyboard much more.  I recommend this item....<br /><br />3/5/13 - A problem has developed since I wrote this review.  Sometimes the mouse or keyboard will not wake my desktop computer from ""sleep"".  When this happens I am still able to wake the computer from sleep using the computer start button.  This problem is happening about 10% of the time.  I have used several other wireless keyboards and mice and have never had this problem.  Not a deal breaker, but annoying......"
5.0,Really cool projector but you really need to mount it for your safety,"This thing is amazing and produces a really cool image but if you're holding it in your hand, the fan is fast and powerful enough that it's scary. I think it'd really hurt if you got your hand in it so I don't think this is a good toy for small kids who don't know how to be safe around things. I'm afraid it might break a small hand if one got caught in this, it truly is powerful!<br /><br />That being said, it makes a great image and is meant to be mounted, not held. Keep that in mind and this thing is perfect!"
5.0,Perfect,My last cables died. This one is much better.
1.0,Waste of money,"Purchased this in November 2019. It's now 2 years later and the thing is barely functioning. I will never be purchasing a fitbit product again after this experience. Where shall I start?<br /><br />First off, the side button stopped working after about 8 months. So that's great, using the watch was that much more difficult.<br /><br />Second, the battery life went downhill fast. When I first purchased the watch it could go over a week without needing to be charged (with the always on display turned off). However, it now can't even to two days without needing to be charged. Quite a joke.<br /><br />Third, the wristband broke after a year. Bought a new one which is much nicer but still a waste. Fourth, the heart rate monitor broke and no longer worked after around a year.<br /><br />TLD; I spent 150 dollars (on sale) for an ugly looking watch that works as an alarm clock and that's it. Don't purchase this product."
1.0,Screwed during registration if you do not have perfect eyesight,"Who was the moron who came up the the color scheme and font for registering the tablet?  It is virtually unreadable even with a 5X magnifier unless you have 20/10 vision.  It is very low contrast combined with extremely thin characters.  And black on orange was a low level safety color combination to prevent photocopying game codes in my day.<br /><br />And in case some of those on the design team missed it, SOME OF US need more than the absolute minimum illumination that is quick to go down and VERY slow to go up.  Overall, I give teh Fire registration and initial startup a -1 on s scale of 0 to 10.<br /><br />Also, I do not have a T1 or better connection, so my speed might nbot be up to Amazon's standards, but do you have to keep popping up ""Slow network connection.  Do you want to continue?"" every ten seconds?<br /><br />Horrible experience!"
5.0,Perfect size for cardmaking!,"I've been struggling with a 10"" light box for a while now when trying to photograph my greeting cards, so I got a 16x16, which was way too big & bulky! This is absolutely perfect for my needs! It's just the right size for A2 sized greeting cards, and I can even photo 5x7 size in it. The brightness is good, and it's super sturdy, and folds down flat."
5.0,Works,"My old strap broke, bought this replacement - it  works just fine"
2.0,Poor Quality,It stops working after two weeks. Therefore I wouldn't recommend. Sorry
4.0,had to returned,It was perfect for what I needed but had to returned the device do to me not been able to run a wire to connected. I order it thinking that it was wireless and for my surprise it was not. Definitely would order one when the cables issue are taken care of.
1.0,Third Harmony controller that failed,I purchased this Harmony in Sept - it stopped working. The product is registered with the MYHARMONY APP. I tried to get help using the APP and it just goes around in circles. There is no phone # listed to get help or return the product.
5.0,Great bands at a great price,This is a great product! Pops off and on easily. Durable. I have my work bands used just for work and then I have all these other colors to pop on for when I'm not working. I love these bands. Ordered them for my Mom too!
5.0,Good Ethernet cable,"I wanted to give this 4 stars, but I couldn't justify it. The cable is great, but the packaging is way too overkill, it is WAY too nice for a cable and kind of wasteful IMO. Do a plastic bag or something, the box could fit 3-4 of these cables. That's my only gripe. Otherwise, the sheathing is good and the RJ-45 connectors feel good and with a good, softer cover on the clip, not a painful hard plastic like I got from another brand"
5.0,Great PTZ 4K Camera!,"This is a fantastic 4K camera for the price point. I have been revamping my surveillance equipment to include PTZ cameras so that I can adjust them after install.<br /><br />This camera has it all.. local storage, H.256+, onvif support for third party camera software.. it's a full featured camera for certain!<br /><br />My favorite part about it is the weatherproofing that was done to ensure proper functionality even in the worst of storms. The IP rating is wonderful and I have had zero problems since installing it underneath the eaves of my house.<br /><br />The POE powered cables are wonderful, and they even come with waterproof connectors to ensure no long term damage occurs from moisture penetration."
5.0,Excellent protection,"Before proceeding I want to state that unlike some other reviews the sample that I received had no strong odor, There was a slight one from the synthetic material from which it is made, but nothing lingering or particularly obnoxious (to me anyway.)<br /><br />What I love about this insert is it's truly padded to the point that you can entrust delicate gear to it. Another feature that I like is the bottom and the top open and can be sealed with the velcro strips incorporated into the insert. In fact, do not lose sight of the fact that this is an insert that is designed to go into another case. I am using mine to store a wireless microphone, received and power supply. I store those in this insert and this insert in an [[ASIN:B000HZGFMA Arriba Cases Ac-140 Padded Gear Transport Bag]]. The Arriba case offers very little protection, so this insert is important to me.<br /><br />The material is water resistant, but the case itself is not because of the way the top and bottom flaps close. Again, this is designed as an insert and not a carrying case, so I am not complaining about that.<br /><br />Overall, this is a wonderful way to protect delicate equipment that is carried in unpadded (or lightly padded) bags. It has dividers for camera lenses that can be arranged to accommodate other kinds of equipment, or removed for larger gear. I am so impressed with it that I am considering ordering another for my second wireless microphone set up."
4.0,Excellent...But...,"Well made and perfect for the smaller iPads. However, I have an iPad Pro 12.9 and need it to be in the portrait [vertical] position as I use it for my music lyrics. It was a bit off-center when in that position and the weight of the iPad pulled it down a bit. I returned it to Amazon and then received an email from the seller who offered to send, at no cost to me, a replacement ""magnetic tripod mount"" which would accommodate my large iPad. It arrived 2 days later and is perfect for setting up my Pro 12.9 in portrait position [and, of course, in landscape if I so choose]. This mount fits on my tripod perfectly and is exactly what I needed. If I had any of the smaller iPads, the Yoassi Tripod Mount would have been perfect. I am very impressed with the customer service and follow-up from them to make sure I was completely happy with my purchase. I definitely recommend this company."
5.0,Good size,Size is accurate and fits in backpack well
3.0,Mic not loud enough for zoom calls,The listening part of these headphones is great. The mic is t loud enough for zoom calls and can not be boosted in windows.
5.0,Amazing camera security system would definitely recommend,This camera security system is amazing  and the video is so clear and the clarity is beyond amazing. The HD quality of the pictures that you get from the cameras are unbelievable you can pick up somebody's license plates and their faces. The lens surface may look small but the amount of space in panoramic view you get is large. To hook it up to your smartphone is super easy. The only problem I have encountered is trying to hook it up to my computer. Night Owl has been great with trying to help me work on this. Other than that this camera system is beyond amazing and the clarity of the pictures and quality of the video you will get is astonishing. The audio is amazing on the two audio cameras that you get with the set you can clearly hear if someone makes a comment or say something. If you're looking to update your security camera system I would definitely recommend you buy this camera security system.
5.0,"VERY HAPPY, WORK WELL","I have had this over a year now and am very happy with it, good reception, it is digital so it gets my morning am traffic station perfectly."
4.0,It works,It works as advertised. The quality of the video could be better.
5.0,Perfect!,"This fit my Canon 5D Mark 4 perfectly. It stays on well, twists to either side when you need to adjust it, and doesn’t fall off like the original OEM."
5.0,Very attractive case.,"I have had many compliments on this case since I have had it. I am a little worried about how small it makes my phone again. I had a bigger case before which gave a little more comfort and I felt like I wouldn't drop it. So, I give it a 3-star for that, I don't feel secure in my ability NOT to drop it. Hopefully the case holds up to its claim that it protects the phone, if I ever do drop it."
5.0,F800 replacement,Perfect replacement. I needed to change out my windshield but could not reuse the old mount. Beware when you stick this on make sure you get the angle of the camera right the first time.
5.0,Inexpensive and attractive 32GB USB storage drives,"These stick USB storage drives are slim, small and have 32GB. They are easy to use - I just inserted it into my MacBook and it was recognized and could hold the documents and photos immediately.<br />The price is a bargain and the drives are small, easy to see colors and come with labels and a keychain ring. This makes it easy to remember what is in each drive and to bring the drives with me as needed.  This really helps me organize my documents and files as I get rid of actual paper and prepare my records, taxes, etc."
5.0,Perfecto,Me súper encanto y muy divertido<br />Lo compre para mi novio y le encanta
1.0,Just doesn't work,I can't get this setup on my TV. I've tried to get some support on this to no avail.
4.0,fancy earbuds,"These are rather pricey for what they do, which is cord free earphones/buds. The case which holds and charges them (with a USB cord) is rather nice and handy, and lights up (red or green) to let you know when they're charged. They also charge relatively fast, which is good, and have various molds to help ensure a good fit. But yes, you'll be charging these a lot if you use these daily or often, be forewarned. Also, the controls are a little tricky to figure out and you might fumble with them a bit, considering you're pressing the things, basically, no nice cord with clear buttons. The sound quality is decent, not quite what I'd expect for the price, since part of the price is for the cordless nature of these things (that and the internal storage and the google speak and...). So yes, they've got a lot of nice options to them which make them more than just earbuds."
5.0,Alexa intgration,"Still trying to figure it out. Its still in the remote box. The price was good, but I feel its faster to manually get what you need, than go through all these steps just to watch a movie. Good price."
5.0,Five Stars,Excellent
5.0,Took 5 minutes,"The battery died on my Garmin Edge 705 and I used this to replace the battery. It took less than ten minutes. It comes with a video but I had already viewed the video online and there really is nothing tricky about this. Six screws, and two connectors, and a glue pad."
5.0,GREAT VALUE,"I ordered this to replace a previous case (from another seller) that was starting to peel.  (I had it for years.)  I chose this one for both the price and the unique picture.  The keyboard cover fits very well and does not interfere with the laptop closing properly.  The print is clear, slightly textured, and seems very durable.  (Time will tell, of course.)  I have not installed the screen protector yet (wish it had come with instructions as this is much larger than a phone screen.)  Best bonus: spare feet included!!  My last case is down to three and I've had to stick them on many times, so having a spare set of feet is amazing!  Very happy with this purchase!"
5.0,Well made!,"This is very well made, it looks nice and professional, it has card slots, a handle, a pen/stylus loop"
4.0,Plays DVD's,"Perfect for those who are not technical giants!  It is not the best DVD player nor the worst.  Setup is simple and it plays back the DVD inserted.  I bought one for downstairs and one for upstairs.  One star off because I can't figure out how to go back and forth from ROKU box to Sony player, so I have to switch HDMI plugs to the HDMI#1 as I can't get the HDMI#2 to work. Otherwise, worth forty bucks all day!"
5.0,All is Good,Not sure what cables others received but mine is excellent and I just ordered 2 more because of it. Can’t beat their cost/value/length. Does the job for around the house TVs and Apple TV4k. 👍🏼
5.0,This will pay for itself in no time,If you use batteries then do your wallet a favor and get this charger.  We use both Nickle Metal Hydride and Alkaline batteries.  This charger does such a good job recharging the Alkaline batteries I am finished buying 'rechargeable' batteries forever.
5.0,Great stuff,Exceeded my wildest expectations and is holding up great.
3.0,The stand doesn't hold the weight,Good case but the stand isn't strong enough to hold the tablet it's made for! Just falls flat.
5.0,It Works,"I am using this keyboard on my smart TV. I plugged in the USB receiver and inserted batteries into the keyboard. The small size is great, and it types onto the TV screen perfectly."
5.0,Excellent option for tablets,card worked automatically and immediately in Samsung Note 10.1 2014 edition tablet.  Transfer fast and faultless thus far.  Previous reports of issues with sandisk memory cards not working on some samsung/android devices concerned me but this doesn't seem to occur with the newer XC versions.
5.0,works great,"good stuff, fits easy, holds well"
4.0,4 star for humans and huskies.,I love this case. The problem is so do my huskies; they have chewed two of them. I have taken greater care to make sure the kids keep these away from my dogs.
5.0,Its so cute,This is so cute. I love that it covers the phone plus gives me a place to put my id.
4.0,No tutorial video for Mmx 300s II,"I can't lie, even though I returned my Beyer's because they were to heavy, these are alot more comfortable than the stock pads. 8/10 recommendation simply because they're too pricey on an already pricey product and no video.<br />Also they kept on falling off my mmx300s II for some odd reason which was really annoying and contributed to me ultimately returning them. Also there's no video and reassurance that these were even compatible with my headphones. Despite that I'd say it's OK for ""true audiophiles"" ."
1.0,Auto-flips like a maniac,"Unfortunately this adapter auto-flips on me like crazy in my VW Vanagon's original tape deck, sometimes waiting up to 15 minutes, and sometimes 4 times a minute. It makes it essentially unusable. I tried a modification from online which has stopped the flipping to about every half hour (just check online) but now, one side is super quiet and inaudible.<br /><br />I think it will just depend on your tape deck. Maybe newer ones don't do it as much?"
