Kategorie,N,VADER Compound (Mittelwert),Geschätztes Minimum H1,"p (age_c, H1)",Signifikanz age_c H1,"p (age_c_sq, H1)",Signifikanz age_c_sq H1,Geschätztes Minimum H1 im Altersbereich,Geschätztes Maximum H2,"p (age_c, H2)",Signifikanz age_c H2,"p (age_c_sq, H2)",Signifikanz age_c_sq H2,Geschätztes Maximum H2 im Altersbereich,H2 konvergiert,Geschätztes Minimum H2,Geschätztes Minimum H2 im Altersbereich,Geschätztes Maximum H1,Geschätztes Maximum H1 im Altersbereich
Dresses,6145,0.7393372172497966,40.21774177134831,0.7626863693548367,nein,0.4084527137910031,nein,ja,,0.21024451772416708,nein,0.0390349688516925,ja,,True,38.39121114283415,ja,,
Knits,4626,0.7416289883268483,47.73621228498617,0.5046626355602394,nein,0.21473351571609986,nein,ja,,0.12838922172895917,nein,0.00037069849281532884,ja,,True,39.93409153308655,ja,,
Blouses,2983,0.7529315454240697,2108.254499223625,0.6423517038860507,nein,0.9985621444350297,nein,nein,112.2502432652639,0.0009228864492308715,ja,0.7118223555149217,nein,nein,True,,,,
Sonstige,1726,0.7268835457705679,,0.45663745818214885,nein,0.39778842511443957,nein,,,0.6228899041224473,nein,0.024569178343136298,ja,,True,45.11306910751351,ja,35.60210496437317,ja
Sweaters,1380,0.7137482608695652,44.7274604948735,0.7102447540904889,nein,0.011875022125438742,ja,ja,,0.9621276391140413,nein,0.007664586635101767,ja,,True,43.44345793043071,ja,,
Pants,1350,0.7493714814814815,54.87091055215403,0.6545950209912679,nein,0.7468601304779159,nein,ja,,0.5665958224413303,nein,0.19891878341404157,nein,,True,39.69003653554779,ja,,
Jeans,1103,0.7559038077969175,48.47863032994106,0.11604734115725276,nein,0.011546737045915852,ja,ja,,0.07046652934526751,nein,0.8506983410228848,nein,,True,-29.76124996141273,nein,,
Fine gauge,1059,0.7302829084041549,45.19310416614454,0.5251611096804277,nein,0.0028584317936869667,ja,ja,,0.5888127011532927,nein,0.03440921892448895,ja,,True,41.101593187572135,ja,,
Skirts,903,0.7547857142857143,56.81678246299378,0.7715197994030338,nein,0.8686500186855207,nein,ja,,0.6956149541653941,nein,0.8482828029498657,nein,,True,27.54061683293897,ja,,
Jackets,683,0.7443475841874085,59.616895077084635,0.6943628866020256,nein,0.8498484785488128,nein,ja,,0.6517356595183211,nein,0.25006623279074125,nein,,True,40.30624547960794,ja,,
Lounge,669,0.7280855007473842,54.816969748877824,0.14618771566542568,nein,0.2602759949846587,nein,ja,54.22939546995849,0.3377570498632856,nein,0.43373137791089467,nein,ja,True,,,,
