Datensatz,Modelltyp,Term,Koeffizient,SE,Statistik,p_Wert,df
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,"Pearson r (Compound, Rating)",0.4734406574652381,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,"Spearman rho (Compound, Rating)",0.4324612071957489,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,OrderedModel Koeff. VADER Compound,2.400786872759762,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,OrderedModel McFadden Pseudo-R2,0.0827367367967101,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,OrderedModel AIC,50767.01339969537,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,OrderedModel N,22640.0,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,Brant Omnibus Statistik,123.40934226705812,,,,
Hauptdatensatz (H3),Vergleich H3 vs. Amazon,Brant Omnibus p-Wert,0.0,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,"Pearson r (Compound, Rating)",0.491703741873352,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,"Spearman rho (Compound, Rating)",0.3553443349685188,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,OrderedModel Koeff. VADER Compound,1.9604299860406444,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,OrderedModel McFadden Pseudo-R2,0.09110311024053452,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,OrderedModel AIC,49376.14694136155,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,OrderedModel N,24992.0,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,Brant Omnibus Statistik,634.3642205417972,,,,
Amazon Electronics,Vergleich H3 vs. Amazon,Brant Omnibus p-Wert,0.0,,,,
Amazon Electronics,OLS: Sentiment ~ Rating (linear) [Amazon],Intercept,-0.26845022056648316,0.009156610183744843,-29.317642138249592,8.637160302557604e-186,
Amazon Electronics,OLS: Sentiment ~ Rating (linear) [Amazon],rating,0.1843448743003174,0.00206511466659969,89.26616874202439,0.0,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],Intercept,-0.10070908649167083,0.009011258098434893,-11.17591854451071,6.265352998492669e-29,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],C(rating)[T.2],0.1839805672960337,0.015295718145159858,12.028239900213649,3.119540480663207e-33,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],C(rating)[T.3],0.3491882129805937,0.013266238217845337,26.321569630106328,1.229847745361225e-150,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],C(rating)[T.4],0.6571255889547474,0.011266661767458172,58.32478177810773,0.0,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],C(rating)[T.5],0.7416047937314995,0.009559208095304075,77.58014956236909,0.0,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],VADER_Compound,1.9604299860406444,0.02867438181785666,68.36869225267162,0.0,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],1/2,-1.7978629647079962,0.02489786021241848,-72.20953726020454,0.0,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],2/3,-0.5670261925382537,0.029321228362129352,-19.338418757060403,2.551805868309046e-83,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],3/4,-0.4226346949702592,0.022949204781286474,-18.416093237134266,9.759865692924147e-76,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],4/5,-0.09365220549593412,0.015683181296582575,-5.971505635552481,2.3507393975542473e-09,
Amazon Electronics,OLS: Sentiment ~ Rating (linear) [Amazon],R2,0.24177256977225625,,,,
Amazon Electronics,OLS: Sentiment ~ Rating (linear) [Amazon],AIC,26411.433231454677,,,,
Amazon Electronics,OLS: Sentiment ~ Rating (linear) [Amazon],N,24992.0,,,,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],R2,0.24783654583258874,,,,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],AIC,26216.754446177387,,,,
Amazon Electronics,OLS: Sentiment ~ Rating (Dummy) [Amazon],N,24992.0,,,,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],McFadden Pseudo-R2,0.09110311024053452,,,,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],AIC,49376.14694136155,,,,
Amazon Electronics,OrderedModel: Rating ~ VADER Compound [Amazon],N,24992.0,,,,
Amazon Electronics,Amazon: Rating ~ VADER Compound,Brant (Wald) – Omnibus (alle Prädiktoren),634.3642205417972,,,0.0,3.0
Amazon Electronics,Amazon: Rating ~ VADER Compound,Brant (Wald) – VADER_Compound,634.3642205417972,,,0.0,3.0
Amazon Electronics,Korrelation Sentiment/Rating [Amazon]: Pearson (linear),Korrelationskoeffizient,0.491703741873352,,,0.0,
Amazon Electronics,Korrelation Sentiment/Rating [Amazon]: Spearman (Rang),Korrelationskoeffizient,0.3553443349685188,,,0.0,
